ID,guid,pinged,to_ping,post_date,post_name,post_type,menu_order,post_title,ping_status,post_author,post_parent,post_status,post_content,post_excerpt,comment_count,post_date_gmt,post_modified,post_password,comment_status,post_mime_type,post_modified_gmt,post_content_filtered
1,http:\\/\\/metapress.htb\\/?p=1,<blank>,<blank>,2022-06-23 17:58:30,hello-world,post,0,Welcome on board!,closed,1,0,publish,"<!-- wp:paragraph -->\\n<p>This site will be launched soon.<br>In the meanwhile you can signup to our launch event.<\\/p>\\n<!-- \\/wp:paragraph -->\\n\\n<!-- wp:paragraph -->\\n<p>Be sure to do it from here:<br><a href=\\""http:\\/\\/metapress.htb\\/events\\/\\"">http:\\/\\/metapress.htb\\/events\\/<\\/a><\\/p>\\n<!-- \\/wp:paragraph -->","<!-- wp:paragraph -->\\n<p>This site will be launched soon.<br>In the meanwhile you can signup to our launch event.<\\/p>\\n<!-- \\/wp:paragraph -->\\n\\n<!-- wp:paragraph -->\\n<p>Be sure to do it from here:<br><a href=\\""http:\\/\\/metapress.htb\\/events\\/\\"">http:\\/\\/metapress.htb\\/events\\/<\\/a><\\/p>\\n<!-- \\/wp:paragraph -->",0,2022-06-23 17:58:30,2022-06-23 18:05:43,<blank>,closed,<blank>,2022-06-23 18:05:43,<blank>
2,http:\\/\\/metapress.htb\\/?page_id=2,<blank>,<blank>,2022-06-23 17:58:30,sample-page,page,0,Sample Page,open,1,0,publish,"<!-- wp:paragraph -->\\n<p>This is an example page. It's different from a blog post because it will stay in one place and will show up in your site navigation (in most themes). Most people start with an About page that introduces them to potential site visitors. It might say something like this:<\\/p>\\n<!-- \\/wp:paragraph -->\\n\\n<!-- wp:quote -->\\n<blockquote class=\\""wp-block-quote\\""><p>Hi there! I'm a bike messenger by day, aspiring actor by night, and this is my website. I live in Los Angeles, have a great dog named Jack, and I like pi\xf1a coladas. (And gettin' caught in the rain.)<\\/p><\\/blockquote>\\n<!-- \\/wp:quote -->\\n\\n<!-- wp:paragraph -->\\n<p>...or something like this:<\\/p>\\n<!-- \\/wp:paragraph -->\\n\\n<!-- wp:quote -->\\n<blockquote class=\\""wp-block-quote\\""><p>The XYZ Doohickey Company was founded in 1971, and has been providing quality doohickeys to the public ever since. Located in Gotham City, XYZ employs over 2,000 people and does all kinds of awesome things for the Gotham community.<\\/p><\\/blockquote>\\n<!-- \\/wp:quote -->\\n\\n<!-- wp:paragraph -->\\n<p>As a new WordPress user, you should go to <a href=\\""http:\\/\\/metapress.htb\\/wp-admin\\/\\"">your dashboard<\\/a> to delete this page and create new pages for your content. Have fun!<\\/p>\\n<!-- \\/wp:paragraph -->",<blank>,0,2022-06-23 17:58:30,2022-06-23 17:58:30,<blank>,closed,<blank>,2022-06-23 17:58:30,<blank>
3,http:\\/\\/metapress.htb\\/?page_id=3,<blank>,<blank>,2022-06-23 17:58:30,privacy-policy,page,0,Privacy Policy,open,1,0,draft,"<!-- wp:heading --><h2>Who we are<\\/h2><!-- \\/wp:heading --><!-- wp:paragraph --><p>Our website address is: http:\\/\\/metapress.htb.<\\/p><!-- \\/wp:paragraph --><!-- wp:heading --><h2>What personal data we collect and why we collect it<\\/h2><!-- \\/wp:heading --><!-- wp:heading {\\""level\\"":3} --><h3>Comments<\\/h3><!-- \\/wp:heading --><!-- wp:paragraph --><p>When visitors leave comments on the site we collect the data shown in the comments form, and also the visitorâ€™s IP address and browser user agent string to help spam detection.<\\/p><!-- \\/wp:paragraph --><!-- wp:paragraph --><p>An anonymized string created from your email address (also called a hash) may be provided to the Gravatar service to see if you are using it. The Gravatar service privacy policy is available here: https:\\/\\/automattic.com\\/privacy\\/. After approval of your comment, your profile picture is visible to the public in the context of your comment.<\\/p><!-- \\/wp:paragraph --><!-- wp:heading {\\""level\\"":3} --><h3>Media<\\/h3><!-- \\/wp:heading --><!-- wp:paragraph --><p>If you upload images to the website, you should avoid uploading images with embedded location data (EXIF GPS) included. Visitors to the website can download and extract any location data from images on the website.<\\/p><!-- \\/wp:paragraph --><!-- wp:heading {\\""level\\"":3} --><h3>Contact forms<\\/h3><!-- \\/wp:heading --><!-- wp:heading {\\""level\\"":3} --><h3>Cookies<\\/h3><!-- \\/wp:heading --><!-- wp:paragraph --><p>If you leave a comment on our site you may opt-in to saving your name, email address and website in cookies. These are for your convenience so that you do not have to fill in your details again when you leave another comment. These cookies will last for one year.<\\/p><!-- \\/wp:paragraph --><!-- wp:paragraph --><p>If you visit our login page, we will set a temporary cookie to determine if your browser accepts cookies. This cookie contains no personal data and is discarded when you close your browser.<\\/p><!-- \\/wp:paragraph --><!-- wp:paragraph --><p>When you log in, we will also set up several cookies to save your login information and your screen display choices. Login cookies last for two days, and screen options cookies last for a year. If you select ""Remember Me"", your login will persist for two weeks. If you log out of your account, the login cookies will be removed.<\\/p><!-- \\/wp:paragraph --><!-- wp:paragraph --><p>If you edit or publish an article, an additional cookie will be saved in your browser. This cookie includes no personal data and simply indicates the post ID of the article you just edited. It expires after 1 day.<\\/p><!-- \\/wp:paragraph --><!-- wp:heading {\\""level\\"":3} --><h3>Embedded content from other websites<\\/h3><!-- \\/wp:heading --><!-- wp:paragraph --><p>Articles on this site may include embedded content (e.g. videos, images, articles, etc.). Embedded content from other websites behaves in the exact same way as if the visitor has visited the other website.<\\/p><!-- \\/wp:paragraph --><!-- wp:paragraph --><p>These websites may collect data about you, use cookies, embed additional third-party tracking, and monitor your interaction with that embedded content, including tracking your interaction with the embedded content if you have an account and are logged in to that website.<\\/p><!-- \\/wp:paragraph --><!-- wp:heading {\\""level\\"":3} --><h3>Analytics<\\/h3><!-- \\/wp:heading --><!-- wp:heading --><h2>Who we share your data with<\\/h2><!-- \\/wp:heading --><!-- wp:paragraph --><p>If you request a password reset, your IP address will be included in the reset email.<\\/p><!-- \\/wp:paragraph --><!-- wp:heading --><h2>How long we retain your data<\\/h2><!-- \\/wp:heading --><!-- wp:paragraph --><p>If you leave a comment, the comment and its metadata are retained indefinitely. This is so we can recognize and approve any follow-up comments automatically instead of holding them in a moderation queue.<\\/p><!-- \\/wp:paragraph --><!-- wp:paragraph --><p>For users that register on our website (if any), we also store the personal information they provide in their user profile. All users can see, edit, or delete their personal information at any time (except they cannot change their username). Website administrators can also see and edit that information.<\\/p><!-- \\/wp:paragraph --><!-- wp:heading --><h2>What rights you have over your data<\\/h2><!-- \\/wp:heading --><!-- wp:paragraph --><p>If you have an account on this site, or have left comments, you can request to receive an exported file of the personal data we hold about you, including any data you have provided to us. You can also request that we erase any personal data we hold about you. This does not include any data we are obliged to keep for administrative, legal, or security purposes.<\\/p><!-- \\/wp:paragraph --><!-- wp:heading --><h2>Where we send your data<\\/h2><!-- \\/wp:heading --><!-- wp:paragraph --><p>Visitor comments may be checked through an automated spam detection service.<\\/p><!-- \\/wp:paragraph --><!-- wp:heading --><h2>Your contact information<\\/h2><!-- \\/wp:heading --><!-- wp:heading --><h2>Additional information<\\/h2><!-- \\/wp:heading --><!-- wp:heading {\\""level\\"":3} --><h3>How we protect your data<\\/h3><!-- \\/wp:heading --><!-- wp:heading {\\""level\\"":3} --><h3>What data breach procedures we have in place<\\/h3><!-- \\/wp:heading --><!-- wp:heading {\\""level\\"":3} --><h3>What third parties we receive data from<\\/h3><!-- \\/wp:heading --><!-- wp:heading {\\""level\\"":3} --><h3>What automated decision making and\\/or profiling we do with user data<\\/h3><!-- \\/wp:heading --><!-- wp:heading {\\""level\\"":3} --><h3>Industry regulatory disclosure requirements<\\/h3><!-- \\/wp:heading -->",<blank>,0,2022-06-23 17:58:30,2022-06-23 17:58:30,<blank>,closed,<blank>,2022-06-23 17:58:30,<blank>
11,http:\\/\\/metapress.htb\\/thank-you\\/,<blank>,<blank>,2022-06-23 18:00:18,thank-you,page,0,Thank you page,closed,1,0,publish,"\\n\\t\\t\\t<el-row>\\n\\t\\t\\t\\t<el-col :xs=\\""24\\"" :sm=\\""24\\"" :md=\\""24\\"" :lg=\\""24\\"" :xl=\\""24\\"">\\n\\t\\t\\t\\t\\t<div class=\\""bpa-front-module-container bpa-front-module--booking-summary bpa-front-module--confirmation bpa-thankyou--page\\"">\\n\\t\\t\\t\\t\\t\\t<div class=\\""bpa-front-module--bs-head\\"">\\n\\t\\t\\t\\t\\t\\t\\t<img src=\\""http:\\/\\/metapress.htb\\/wp-content\\/plugins\\/bookingpress-appointment-booking\\/images\\/front-confirmation-vector.svg\\"" alt=\\""\\"">\\n\\t\\t\\t\\t\\t\\t\\t<h4>Your Appointment Booked successfully!<\\/h4>\\n\\t\\t\\t\\t\\t\\t\\t<p>We have sent your booking information to your email address.<\\/p>\\n\\t\\t\\t\\t\\t\\t<\\/div>\\n\\t\\t\\t\\t\\t\\t<div class=\\""bpa-front-module--bs-summary-content\\"">\\n\\t\\t\\t\\t\\t\\t\\t<div class=\\""bpa-front-module--bs-summary-content-item\\"">\\n\\t\\t\\t\\t\\t\\t\\t\\t<span>Service:<\\/span>\\n\\t\\t\\t\\t\\t\\t\\t\\t<h4>[bookingpress_appointment_service]<\\/h4>\\n\\t\\t\\t\\t\\t\\t\\t<\\/div>\\n\\t\\t\\t\\t\\t\\t\\t<div class=\\""bpa-front-module--bs-summary-content-item\\"">\\n\\t\\t\\t\\t\\t\\t\\t\\t<span>Date & Time:<\\/span>\\n\\t\\t\\t\\t\\t\\t\\t\\t<h4>[bookingpress_appointment_datetime]<\\/h4>\\n\\t\\t\\t\\t\\t\\t\\t<\\/div>\\n\\t\\t\\t\\t\\t\\t\\t<div class=\\""bpa-front-module--bs-summary-content-item\\"">\\n\\t\\t\\t\\t\\t\\t\\t\\t<span>Customer Name:<\\/span>\\n\\t\\t\\t\\t\\t\\t\\t\\t<h4>[bookingpress_appointment_customername]<\\/h4>\\n\\t\\t\\t\\t\\t\\t\\t<\\/div>\\n\\t\\t\\t\\t\\t\\t<\\/div>\\n\\t\\t\\t\\t\\t<\\/div>\\n\\t\\t\\t\\t<\\/el-col>\\n\\t\\t\\t<\\/el-row>",<blank>,0,2022-06-23 18:00:18,2022-06-23 18:00:18,<blank>,closed,<blank>,2022-06-23 18:00:18,<blank>
13,http:\\/\\/metapress.htb\\/cancel-appointment\\/,<blank>,<blank>,2022-06-23 18:00:19,cancel-appointment,page,0,Cancel page,closed,1,0,publish,"\\n\\t\\t\\t<el-row>\\n\\t\\t\\t\\t<el-col :xs=\\""24\\"" :sm=\\""24\\"" :md=\\""24\\"" :lg=\\""24\\"" :xl=\\""24\\"">\\n\\t\\t\\t\\t\\t<div class=\\""bpa-front-module-container bpa-front-module--booking-summary bpa-front-module--confirmation bpa-cancel--page\\"">\\n\\t\\t\\t\\t\\t\\t<div class=\\""bpa-front-module--bs-summary-content\\"">\\n\\t\\t\\t\\t\\t\\t\\t<div class=\\""bpa-front-module--bs-summary-content-item\\"">\\n\\t\\t\\t\\t\\t\\t\\t\\t<h4>Sorry to hear that you have requested for cancel the appointment.<\\/h4><br\\/>\\n\\t\\t\\t\\t\\t\\t\\t\\t<h5>We have sent an email notification for cancel appointment. So please click on the button to cancel the appointment.<\\/h5>\\n\\t\\t\\t\\t\\t\\t\\t<\\/div>\\n\\t\\t\\t\\t\\t\\t<\\/div>\\n\\t\\t\\t\\t\\t<\\/div>\\n\\t\\t\\t\\t<\\/el-col>\\n\\t\\t\\t<\\/el-row>",<blank>,0,2022-06-23 18:00:19,2022-06-23 18:00:19,<blank>,closed,<blank>,2022-06-23 18:00:19,<blank>
14,http:\\/\\/metapress.htb\\/cancel-payment\\/,<blank>,<blank>,2022-06-23 18:00:20,cancel-payment,page,0,Cancel Payment page,closed,1,0,publish,"\\n\\t\\t\\t<el-row>\\n\\t\\t\\t\\t<el-col :xs=\\""24\\"" :sm=\\""24\\"" :md=\\""24\\"" :lg=\\""24\\"" :xl=\\""24\\"">\\n\\t\\t\\t\\t\\t<div class=\\""bpa-front-module-container bpa-front-module--booking-summary bpa-front-module--confirmation bpa-cancel--page\\"">\\n\\t\\t\\t\\t\\t\\t<div class=\\""bpa-front-module--bs-summary-content\\"">\\n\\t\\t\\t\\t\\t\\t\\t<div class=\\""bpa-front-module--bs-summary-content-item\\"">\\n\\t\\t\\t\\t\\t\\t\\t\\t<h4>Sorry! Something went wrong. Your payment has been failed.<\\/h4>\\n\\t\\t\\t\\t\\t\\t\\t<\\/div>\\n\\t\\t\\t\\t\\t\\t<\\/div>\\n\\t\\t\\t\\t\\t<\\/div>\\n\\t\\t\\t\\t<\\/el-col>\\n\\t\\t\\t<\\/el-row>",<blank>,0,2022-06-23 18:00:20,2022-06-23 18:00:20,<blank>,closed,<blank>,2022-06-23 18:00:20,<blank>
16,http:\\/\\/metapress.htb\\/twentytwentyone\\/,<blank>,<blank>,2022-06-23 18:01:26,twentytwentyone,custom_css,0,twentytwentyone,closed,1,0,publish,.posted-on { \\n  display: none !important; \\n}\\nh1 {\\n\\tfont-size: 50px !important;\\n},<blank>,0,2022-06-23 18:01:26,2022-06-23 18:01:26,<blank>,closed,<blank>,2022-06-23 18:01:26,<blank>
17,http:\\/\\/metapress.htb\\/16-revision-v1\\/,<blank>,<blank>,2022-06-23 18:01:26,16-revision-v1,revision,0,twentytwentyone,closed,1,16,inherit,.posted-on { \\n  display: none !important; \\n}\\nh1 {\\n\\tfont-size: 50px !important;\\n},<blank>,0,2022-06-23 18:01:26,2022-06-23 18:01:26,<blank>,closed,<blank>,2022-06-23 18:01:26,<blank>
19,http:\\/\\/metapress.htb\\/?page_id=19,<blank>,<blank>,2022-06-23 18:02:58,about-us,page,0,About us,closed,1,0,publish,<!-- wp:paragraph -->\\n<p>This site aims to be your main source to be updated on what happens in the tech world!<\\/p>\\n<!-- \\/wp:paragraph -->,<blank>,0,2022-06-23 18:02:58,2022-06-23 18:02:58,<blank>,closed,<blank>,2022-06-23 18:02:58,<blank>
20,http:\\/\\/metapress.htb\\/19-revision-v1\\/,<blank>,<blank>,2022-06-23 18:02:58,19-revision-v1,revision,0,About us,closed,1,19,inherit,<!-- wp:paragraph -->\\n<p>This site aims to be your main source to be updated on what happens in the tech world!<\\/p>\\n<!-- \\/wp:paragraph -->,<blank>,0,2022-06-23 18:02:58,2022-06-23 18:02:58,<blank>,closed,<blank>,2022-06-23 18:02:58,<blank>
21,http:\\/\\/metapress.htb\\/?page_id=21,<blank>,<blank>,2022-06-23 18:03:14,events,page,0,Events,closed,1,0,publish,<!-- wp:shortcode -->\\n[bookingpress_form]\\n<!-- \\/wp:shortcode -->,<blank>,0,2022-06-23 18:03:14,2022-06-23 18:03:14,<blank>,closed,<blank>,2022-06-23 18:03:14,<blank>
22,http:\\/\\/metapress.htb\\/21-revision-v1\\/,<blank>,<blank>,2022-06-23 18:03:14,21-revision-v1,revision,0,Events,closed,1,21,inherit,<!-- wp:shortcode -->\\n[bookingpress_form]\\n<!-- \\/wp:shortcode -->,<blank>,0,2022-06-23 18:03:14,2022-06-23 18:03:14,<blank>,closed,<blank>,2022-06-23 18:03:14,<blank>
23,http:\\/\\/metapress.htb\\/1-revision-v1\\/,<blank>,<blank>,2022-06-23 18:03:50,1-revision-v1,revision,0,Welcome on board!,closed,1,1,inherit,"<!-- wp:paragraph -->\\n<p>This site will be launched soon.<br>In the meanwhile you can signup to our launch event.<\\/p>\\n<!-- \\/wp:paragraph -->\\n\\n<!-- wp:paragraph -->\\n<p>Be sure to do it from here:<br><a href=\\""http:\\/\\/metapress.htb\\/events\\/\\"">http:\\/\\/metapress.htb\\/events\\/<\\/a><\\/p>\\n<!-- \\/wp:paragraph -->","<!-- wp:paragraph -->\\n<p>This site will be launched soon.<br>In the meanwhile you can signup to our launch event.<\\/p>\\n<!-- \\/wp:paragraph -->\\n\\n<!-- wp:paragraph -->\\n<p>Be sure to do it from here:<br><a href=\\""http:\\/\\/metapress.htb\\/events\\/\\"">http:\\/\\/metapress.htb\\/events\\/<\\/a><\\/p>\\n<!-- \\/wp:paragraph -->",0,2022-06-23 18:03:50,2022-06-23 18:03:50,<blank>,closed,<blank>,2022-06-23 18:03:50,<blank>
24,http:\\/\\/metapress.htb\\/?p=24,<blank>,<blank>,2022-06-23 18:05:02,24,nav_menu_item,1,<blank>,closed,1,0,publish,NULL,<blank>,0,2022-06-23 18:05:02,2022-06-23 18:05:02,<blank>,closed,<blank>,2022-06-23 18:05:02,<blank>

